generacion,mejor_fitness,mejor_global,promedio,mediana,std,min,max,q25,q75
66,0.478205,0.478205,0.287918,0.321909,0.187743,-0.182830,0.478205,0.149714,0.468005
67,0.478205,0.478205,0.278575,0.339307,0.185039,-0.205662,0.478205,0.198970,0.413626
68,0.478205,0.478205,0.235455,0.287314,0.217922,-0.211039,0.478205,0.036665,0.421143
69,0.481305,0.481305,0.239088,0.344961,0.252156,-0.395999,0.481305,0.074493,0.462098
70,0.481305,0.481305,0.214396,0.266615,0.224919,-0.315309,0.481305,0.035528,0.409013
71,0.481305,0.481305,0.189585,0.237718,0.231543,-0.313006,0.481305,0.003440,0.377197
72,0.481305,0.481305,0.184782,0.219353,0.221067,-0.457177,0.481305,0.014895,0.350843
73,0.481305,0.481305,0.173438,0.182237,0.201311,-0.236105,0.481305,0.002009,0.324090
74,0.481305,0.481305,0.180265,0.164645,0.209067,-0.299334,0.481305,0.075216,0.361950
75,0.481305,0.481305,0.173648,0.194682,0.216252,-0.415641,0.481305,0.070457,0.351752
76,0.481305,0.481305,0.176132,0.195111,0.194146,-0.274139,0.481305,0.036511,0.313904
77,0.481305,0.481305,0.210619,0.243345,0.210400,-0.368124,0.481305,0.083634,0.389339
78,0.481305,0.481305,0.156495,0.174245,0.206814,-0.384427,0.481305,-0.000750,0.306240
79,0.481577,0.481577,0.231744,0.261406,0.191257,-0.409934,0.481577,0.142538,0.372013
80,0.483150,0.483150,0.209940,0.274426,0.222467,-0.349208,0.483150,0.052160,0.368224
81,0.483150,0.483150,0.279928,0.322014,0.173407,-0.108674,0.483150,0.193372,0.419758
82,0.484319,0.484319,0.247619,0.278258,0.190692,-0.233400,0.484319,0.120428,0.399242
83,0.484319,0.484319,0.244024,0.279070,0.192428,-0.248115,0.484319,0.112877,0.404596
84,0.484319,0.484319,0.238555,0.290281,0.220752,-0.391218,0.484319,0.124651,0.405490
85,0.484319,0.484319,0.186709,0.228960,0.239318,-0.379481,0.484319,0.001569,0.376447
86,0.484319,0.484319,0.220745,0.222135,0.215765,-0.464368,0.484319,0.052539,0.423273
87,0.484319,0.484319,0.243337,0.249045,0.190677,-0.281473,0.484319,0.116957,0.423820
88,0.484319,0.484319,0.201851,0.278518,0.229251,-0.325323,0.484319,0.100112,0.384750
89,0.484319,0.484319,0.230178,0.252403,0.186672,-0.171250,0.484319,0.094764,0.404120
90,0.484319,0.484319,0.221019,0.244758,0.191357,-0.223150,0.484319,0.071368,0.371509
91,0.484319,0.484319,0.245933,0.275491,0.171254,-0.104784,0.484319,0.138593,0.390508
92,0.484319,0.484319,0.206636,0.212685,0.213140,-0.362648,0.484319,0.116583,0.372141
93,0.484319,0.484319,0.182661,0.204988,0.231124,-0.319170,0.484319,0.047555,0.352695
94,0.484319,0.484319,0.222639,0.249967,0.192407,-0.253134,0.484319,0.096994,0.375866
95,0.484319,0.484319,0.258611,0.301457,0.188565,-0.250801,0.484319,0.137536,0.403966
96,0.486908,0.486908,0.239184,0.233005,0.202095,-0.287896,0.486908,0.086616,0.458839
97,0.486908,0.486908,0.247885,0.261498,0.152958,-0.131728,0.486908,0.158735,0.347491
98,0.486908,0.486908,0.236634,0.283305,0.220724,-0.410522,0.486908,0.143484,0.395190
99,0.486908,0.486908,0.212762,0.245143,0.226042,-0.353170,0.486908,0.088042,0.403016
100,0.486908,0.486908,0.227644,0.236297,0.196893,-0.264398,0.486908,0.115184,0.404623
