Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,water_temp_c_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
9.769875,78.239811,4.504498,0.2017,0.076986,20.049694,671.674815,1854.143312,56.31418,123.379966,1152.646133,1.90863,1.2e-05,20.330944,0.0,2.677337,0.0,7.05051,2582.132307,1276.026099,2525.818127,6.413128,22.180366,5.667464,14.929,0.06292,0.11487,16.9345,1.94532,0.03235,21.81139,,,,,,,
10.657277,83.873681,4.783393,0.183856,0.084885,20.499379,728.905041,2053.070145,59.464779,169.892606,1187.220771,2.928967,3.3e-05,21.653209,0.0,2.643957,0.0,7.031381,2841.439965,1357.113377,2781.975186,7.71236,23.735833,5.991527,14.9153,0.06292,0.11487,16.9345,1.94532,0.03235,21.81139,,,,,,,
11.544679,89.248801,5.015696,0.176528,0.091929,20.115583,782.422742,2241.646703,62.502791,233.843684,1192.495986,4.480029,8.9e-05,22.950944,0.0,2.616153,0.0,7.001559,3086.572236,1426.33967,3024.069445,9.495725,25.028024,6.091621,14.8914,0.06292,0.11487,16.9345,1.94532,0.03235,21.49386,,,,,,,
12.432081,94.348211,5.196122,0.256621,0.097935,18.605318,831.641004,2420.225829,65.380921,321.762584,1162.379001,6.83395,0.000233,24.230869,0.0,2.595146,0.0,6.963071,3317.247753,1484.141585,3251.866833,12.030072,26.056583,5.994633,14.8474,0.06304,0.36326,9.37518,3.40559,0.01851,20.85879,,,,,,,
13.2011,99.221032,5.326917,1.629072,0.102876,15.684831,876.861496,2591.584718,67.829318,442.20991,1089.848996,10.394241,0.000595,25.520756,0.0,2.581431,0.0,6.929107,3536.275532,1532.058906,3468.446214,15.721157,26.971909,5.898114,14.7584,0.06304,0.36326,9.37518,3.40559,0.01851,20.85879,19.8,64.6,5.95,15.5,680.0,210.0,190.0
13.851737,103.679619,5.411141,1.468194,0.106636,17.730317,916.607384,2748.843065,69.77316,504.03521,1066.058686,11.251861,0.001274,26.580272,0.0,2.575145,0.0,6.925571,3735.223609,1570.093896,3665.450449,16.663002,29.943955,6.184888,14.7132,0.08634,0.39811,9.66225,3.84662,0.02245,20.452,,,,,,,
14.502373,108.695537,5.476488,1.332653,0.110163,20.071166,960.041045,2927.257502,72.065983,583.66501,1024.685134,12.305167,0.002675,27.780922,0.0,2.574245,0.0,6.924719,3959.36453,1608.350145,3887.298548,17.781654,33.421689,6.541671,14.6488,0.08634,0.39811,9.66225,3.84662,0.02245,20.11651,,,,,,,
15.15301,104.470769,5.44675,1.295678,0.110892,21.659115,953.769874,2608.395342,74.944378,130.290471,945.084222,12.894783,0.005225,26.223407,0.0,2.602971,0.0,6.895018,3637.109594,1075.374693,3562.165216,18.341533,35.644793,5.406567,14.5477,0.0866,0.39846,9.66504,3.8511,0.02249,19.78103,,,,,,,
15.803647,109.329459,5.493478,1.17462,0.113809,24.188441,993.794387,2798.304567,77.500367,156.262921,955.979402,14.189583,2e-06,27.20708,0.0,2.620209,0.0,6.89941,3869.599321,1112.242323,3792.098954,19.683061,39.570241,5.795252,14.4064,0.08634,0.39811,9.66225,3.84662,0.02245,19.11068,,,,,,,
16.454283,114.287871,5.517018,1.085331,0.11616,26.615225,1036.866949,2980.275084,80.616851,186.425067,958.503154,15.608259,3e-06,28.250605,0.0,2.632525,0.0,6.910482,4097.758884,1144.928221,4017.142033,21.125277,43.525871,6.244058,14.2294,0.08634,0.39811,9.66225,3.84662,0.02245,18.7752,16.8,6.0,3.8,2.5,2580.0,215.0,
