Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,flow_obs,water_temp_c_obs,conductivity_obs,nitrate_obs,inorganic_phosphorus_obs,pathogen_obs,const_ii_obs,alkalinity_obs,pH_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
40.628902,186.36535,16.154759,5.906193,0.020806,7.619555,1343.308732,2206.690832,404.826582,40.208844,199.085017,88.649446,2.501077,52.915504,0.000203,1.931153,0.0,7.393682,3954.826146,239.29386,3549.999564,104.804205,103.027165,16.795815,16.6883,25.91409,1.0208,22.67292,23.14449,1.11967,21.23593,,,,,,,,,,,,,,,
47.815432,192.391517,15.787317,5.585394,0.021099,7.581096,1334.276244,2318.329938,405.322785,39.728466,207.077618,86.645625,2.445553,53.919623,0.00023,1.893431,0.0,7.334355,4057.928967,246.806084,3652.606182,102.432942,100.832887,15.183728,16.4917,24.36159,1.01038,22.23458,22.46532,1.08441,21.16164,22.8,20.3,251.0,1005.7,150.0,3.7564078725489582,2.3188977146274867,50.5,7.6,171.5,6.4,12.0,2580.0,875.0,150.0
55.001962,192.509822,15.791494,5.261143,0.021132,7.390177,1337.107291,2318.839741,406.243606,41.91342,204.791012,86.915208,2.451563,53.939118,0.000245,1.891194,0.0,7.276602,4062.190639,246.704432,3655.947033,102.706702,100.932073,13.414458,16.6001,24.36159,1.01038,22.23458,22.46532,1.08441,21.08493,22.76,22.7,264.0,1030.0,150.0,4.142545884086276,2.716003343634799,44.5,7.8,224.5,6.4,10.3,2000.0,649.9999999999999,370.0
62.188493,192.613012,15.795305,4.895942,0.021162,7.193146,1339.632479,2319.112729,407.056083,44.241563,202.359111,87.187035,2.457725,53.956346,0.000263,1.889034,0.0,7.216034,4065.801292,246.600674,3658.745208,102.98234,101.027557,11.77556,16.7117,24.36159,1.01038,22.23458,22.46532,1.08441,21.00823,,,,,,,,,,,,,,,
69.375023,272.755189,9.07683,6.341603,0.029992,9.893411,1899.352159,1662.486325,560.569703,66.133618,282.769572,48.51221,3.487644,34.850611,0.000402,2.670827,0.0,7.583943,4122.408187,348.90319,3561.838484,57.58904,62.122541,17.888784,15.5081,17.21159,0.95372,19.92276,19.00077,0.90584,20.93153,,,,,,,,,,,,,,,
76.561553,272.888293,9.082251,6.184305,0.030035,9.852869,1902.670184,1662.582897,561.531553,70.232477,278.523688,48.685944,3.497594,34.875583,0.000443,2.667441,0.0,7.567095,4126.784635,348.756165,3565.253082,57.768196,62.26898,17.346719,15.6094,17.21159,0.95372,19.92276,19.00077,0.90584,20.8397,,,,,,,,,,,,,,,
83.748083,347.971039,5.695912,5.977757,0.037619,12.350567,2046.71881,2066.66762,604.192111,90.493927,358.521572,28.727971,3.423806,39.731117,0.000662,2.729287,0.0,7.639173,4717.578541,449.0155,4113.38643,34.423883,43.299483,25.551318,15.6846,12.77089,0.9076,18.12992,16.45474,0.77612,20.74788,,,,,,,,,,,,,,,
90.934613,348.125133,5.702995,5.833785,0.037676,12.424425,2050.44939,2066.978742,605.270586,97.149432,351.777976,28.855226,3.435116,39.765438,0.000753,2.724507,0.0,7.633281,4722.698718,448.927408,4117.428132,34.558221,43.510324,25.463145,15.8163,12.77089,0.9076,18.12992,16.45474,0.77612,20.64071,13.765,17.5,268.5,1925.4,150.0,4.32273600446995,3.1360860973840974,28.0,7.545,75.0,6.25,10.0,2000.0,634.5000000000001,230.0
96.583062,417.286097,3.244367,5.427805,0.043243,14.469255,2232.388575,2441.700192,627.313689,116.815102,410.428791,14.123858,3.527257,41.580948,0.001094,2.905743,0.0,7.64858,5301.402456,527.243893,4674.088767,17.368226,29.70977,30.855883,15.6906,10.11494,0.55692,21.22684,11.8216,0.85563,20.53354,13.309,17.95,279.5,1750.0,150.0,4.157924961357884,3.6875289612146345,33.1,7.555,72.5,5.63,5.0,2580.0,700.0,150.0
100.69343,417.229287,3.23306,5.429024,0.042615,14.230474,2213.954488,2435.516833,626.641414,117.795024,405.668373,14.128614,3.53176,41.593539,0.001185,2.900785,0.0,7.631523,5276.112734,523.463397,4649.47132,17.361674,29.475476,29.655115,15.713,10.1057,0.55677,21.22309,11.81647,0.85522,20.42231,,,,,,,,,,,,,,,
