Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,water_temp_c_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
47.815432,130.557884,5.39451,0.092795,0.027648,13.322536,1677.275242,1413.296042,443.550079,110.981645,216.41913,25.618902,0.682039,34.697563,0.000432,2.660999,0.0,7.912684,3534.121364,327.400776,3090.571285,31.013412,40.916122,48.008027,21.1325,18.6953,0.96691,20.4502,19.77352,0.94547,25.75975,20.3,171.5,6.4,12.0,2580.0,875.0,150.0
55.001962,130.718279,5.400048,0.110568,0.027697,12.77286,1679.804714,1415.53459,447.266579,110.952752,216.371175,26.189227,0.832215,34.721815,0.000459,2.655046,0.0,7.881555,3542.605883,327.323927,3095.339304,31.589275,40.980165,43.897945,20.8235,18.6953,0.96691,20.4502,19.77352,0.94547,25.67178,22.7,224.5,6.4,10.3,2000.0,649.9999999999999,370.0
62.188493,134.222362,5.283799,0.087966,0.028741,12.87659,1695.656407,1503.918016,454.198331,113.364258,232.66158,25.719751,0.789353,34.494862,0.000535,2.663818,0.0,7.885905,3653.772754,346.025838,3199.574423,31.00355,40.579782,45.654443,20.3833,17.1428,0.95309,19.89756,18.96412,0.90396,25.5838,,,,,,,
69.375023,134.38463,5.290002,0.09042,0.028794,12.331447,1698.284943,1506.321009,458.001249,113.319692,232.649465,26.290696,0.968089,34.518218,0.000577,2.657377,0.0,7.849916,3662.607201,345.969157,3204.605952,31.580697,40.64903,40.996983,19.9785,17.1428,0.95309,19.89756,18.96412,0.90396,25.49179,,,,,,,
76.561553,134.535803,5.296076,0.143346,0.028846,11.788086,1700.895947,1508.489441,461.702176,113.293818,232.650404,26.858528,1.183701,34.538645,0.000626,2.651217,0.0,7.807572,3671.087564,345.944222,3209.385388,32.154603,40.716708,36.166517,19.5328,17.1428,0.95309,19.89756,18.96412,0.90396,25.39977,,,,,,,
83.748083,161.691983,4.643668,0.068089,0.036071,14.309847,1774.630982,1864.089877,472.873988,142.764001,303.169841,22.773788,0.64463,39.299103,0.000924,2.704225,0.0,7.986355,4111.594847,445.933842,3638.72086,27.417456,38.850513,69.760474,20.1767,12.7021,0.90679,18.099,16.41195,0.77395,25.30776,,,,,,,
90.934613,161.896278,4.652651,0.072571,0.036148,13.771781,1778.116335,1869.743136,477.60273,142.821546,303.218291,23.36211,0.84121,39.326948,0.001034,2.69565,0.0,7.958615,4125.462201,446.039837,3647.859471,28.014762,38.945559,63.419032,19.6542,12.7021,0.90679,18.099,16.41195,0.77395,25.20029,17.5,75.0,6.25,10.0,2000.0,634.5000000000001,230.0
96.583062,162.029524,4.66123,0.2246,0.036217,13.236313,1780.826086,1872.869238,482.06393,142.959139,303.058803,23.943494,1.074087,39.345244,0.001169,2.68808,0.0,7.925546,4135.759254,446.017942,3653.695324,28.604724,39.035729,56.609861,19.0689,12.71705,0.59393,22.18676,13.17749,0.96506,25.09282,17.95,72.5,5.63,5.0,2580.0,700.0,150.0
100.69343,181.852201,2.939364,0.12952,0.040762,14.926081,1869.784401,2202.640311,470.634125,165.337036,355.607082,13.832997,0.72562,41.048083,0.001576,2.859556,0.0,8.010426,4543.058838,520.944118,4072.424712,16.77236,29.851147,82.295024,19.3874,10.03782,0.55572,21.19547,11.77876,0.8522,24.9877,,,,,,,
104.803797,181.959044,2.944569,0.130261,0.040807,14.78699,1871.86831,2209.697815,472.521149,165.499034,355.710739,14.014471,0.859792,41.065664,0.001694,2.855182,0.0,7.985965,4554.087275,521.209773,4081.566125,16.95904,29.907367,77.088547,19.1867,10.03782,0.55572,21.19547,11.77876,0.8522,24.93187,,,,,,,
108.914165,182.061228,2.949627,0.131198,0.040852,14.64708,1873.98202,2216.46923,474.381476,165.698906,355.826915,14.195576,1.007531,41.082304,0.001825,2.85108,0.0,7.95479,4564.832726,521.525821,4090.45125,17.145202,29.962371,71.008477,18.9656,10.03782,0.55572,21.19547,11.77876,0.8522,24.93187,18.7,76.5,6.0,11.0,4400.0,1355.0,220.0
113.024533,182.159192,2.954544,0.132403,0.040896,14.506717,1876.12663,2222.898189,476.212338,165.93796,355.957008,14.376045,1.171471,41.09818,0.00197,2.847245,0.0,7.915343,4575.237157,521.894967,4099.024818,17.330588,30.016237,64.075567,18.7221,10.03782,0.55572,21.19547,11.77876,0.8522,24.87605,,,,,,,
117.134901,182.277509,2.910361,0.134002,0.040951,14.370341,1878.857315,2229.386666,478.149663,166.263184,356.207597,14.277439,1.357877,41.111745,0.002131,2.844508,0.0,7.866096,4586.393644,522.47078,4108.243982,17.1878,29.773816,56.441218,18.4544,10.0352,0.55568,21.19441,11.7773,0.85208,24.76439,,,,,,,
121.245269,182.368452,2.915032,0.142181,0.040994,14.233776,1881.068505,2234.983274,479.912186,166.584187,356.370381,14.452574,1.580583,41.126649,0.002307,2.841181,0.0,7.805425,4595.963965,522.954568,4116.051779,17.367606,29.825739,48.315252,18.1597,10.02698,0.55555,21.19105,11.77273,0.85171,24.70856,18.8,46.75,6.0,20.0,5160.0,1545.0,280.0
125.355636,182.138611,2.815027,0.295701,0.041073,14.110507,1884.952436,2226.264336,481.43695,165.887394,352.819989,14.03194,1.863305,41.121696,0.002503,2.837913,0.0,7.732933,4592.653723,518.707383,4111.216773,16.846967,29.249947,39.901338,17.8354,4.81535,0.45205,18.3912,8.31366,0.57921,24.6527,18.55,81.2,5.255,11.15,7000.0,3921.5,380.0
129.466004,324.509178,4.201923,0.156927,0.067406,23.692607,2444.666713,3970.160509,730.291113,248.931463,670.327579,20.104246,1.152347,67.18444,0.005654,3.329397,0.0,7.745646,7145.118336,919.259042,6414.827223,24.306169,45.392182,84.078257,19.7403,4.81535,0.45205,18.3912,8.31366,0.57921,24.6527,19.35,65.5,2.15,16.1,9700.0,7350.0,1030.0
133.576372,370.946606,4.682943,0.131541,0.076668,26.718562,2632.497427,4604.747653,800.602588,284.378698,779.181096,22.547894,1.022168,76.623444,0.007507,3.419116,0.0,7.595896,8037.847668,1063.559794,7237.24508,27.230837,51.056765,71.943843,20.2216,4.08254,0.43155,17.81387,7.68753,0.53106,24.57057,,,,,,,
136.671099,361.551183,4.608827,0.049565,0.071671,24.855136,2658.866622,4478.815084,809.09964,272.01466,750.028163,22.499258,1.294219,76.244597,0.008606,3.404622,0.0,7.376571,7946.781346,1022.042824,7137.681706,27.108085,49.13601,41.762124,19.9853,4.10895,0.76793,16.71105,12.83297,0.32019,24.48098,20.35,57.0,3.1,20.0,9500.0,5550.0,1050.0
138.750186,100.393233,1.861156,0.121732,0.02373,11.460107,1484.552994,975.678344,691.818387,175.803812,243.754991,5.944972,0.011963,27.249467,0.013471,2.755202,0.0,7.462688,3152.049725,419.558803,2460.231338,7.806128,17.880627,10.532168,19.2851,2.78571,0.64793,16.49039,10.68457,0.26072,24.31596,19.6,104.5,4.62,28.0,1650.0,1000.0,460.0
140.829273,106.06947,1.944092,0.114637,0.021762,11.081369,1571.380964,1013.494774,724.789574,187.624634,258.686158,6.210606,0.01913,23.590335,0.016119,2.887073,0.0,7.839092,3309.665312,446.310791,2584.875738,8.154698,17.785744,27.0493,20.0206,2.78571,0.64793,16.49039,10.68457,0.26072,24.31596,19.9,59.5,6.0,11.0,2580.0,625.0,150.0
142.908359,106.563772,1.97049,0.11337,0.022055,11.145731,1582.609223,1036.839738,732.068373,191.388311,261.821963,6.399842,0.028291,23.707382,0.018377,2.877321,0.0,7.825166,3351.517335,453.210274,2619.448961,8.370332,18.054016,26.494375,19.8465,2.78652,0.64801,16.49055,10.68603,0.26076,24.22367,,,,,,,
144.987446,107.07055,1.997564,0.112126,0.022366,11.214389,1594.842448,1062.549525,739.437674,195.735219,265.261164,6.593394,0.040244,23.832396,0.020914,2.868779,0.0,7.807928,3396.829647,460.996383,2657.391973,8.590958,18.331246,25.760812,19.6512,2.79035,0.6484,16.49133,10.69297,0.26095,24.03911,,,,,,,
147.066533,107.086921,2.009911,0.111483,0.020721,10.70137,1608.501036,1083.895837,746.778329,198.826531,262.76512,6.701595,0.053709,23.949704,0.023752,2.860358,0.0,7.802,3439.175202,461.591651,2692.396873,8.711506,17.933007,25.530406,19.4332,2.79035,0.6484,16.49133,10.69297,0.26095,24.03911,,,,,,,
149.14562,107.637042,2.039278,0.11021,0.021073,10.786916,1622.958343,1114.859927,754.367743,204.39054,266.904961,6.90345,0.071467,24.09554,0.026903,2.85363,0.0,7.779654,3492.186013,471.295502,2737.81827,8.942728,18.236101,24.537528,19.1883,2.79003,0.64837,16.49126,10.69238,0.26094,23.85468,21.3,46.5,5.0,6.0,2580.0,625.0,150.0
151.224706,108.061229,2.068674,0.109325,0.021254,10.825111,1638.821154,1144.877838,762.087661,210.372324,270.647544,7.101697,0.092084,24.245196,0.03039,2.846988,0.0,7.753632,3545.786653,481.019868,2783.698992,9.170371,18.487791,23.30061,18.9143,2.79473,0.64884,16.49221,10.70087,0.26117,23.76247,,,,,,,
153.303793,108.675071,2.101429,0.108511,0.021659,10.933995,1655.746944,1181.578479,769.943717,217.220646,275.587991,7.314918,0.118746,24.417126,0.034217,2.841388,0.0,7.72183,3607.26914,492.808637,2837.325423,9.416347,18.826505,21.896419,18.6082,2.79473,0.64884,16.49221,10.70087,0.26117,23.76247,,,,,,,
155.38288,109.32806,2.136278,0.116947,0.022094,11.057252,1674.012724,1221.370544,777.954039,224.742792,280.970517,7.534619,0.156143,24.604007,0.038407,2.836131,0.0,7.684487,3673.337308,505.713308,2895.383268,9.670896,19.186596,20.300008,18.2661,2.79512,0.64888,16.49229,10.70157,0.26119,23.67033,,,,,,,
157.306722,106.23058,2.24471,0.04259,0.022423,11.392996,1563.19116,1277.930077,690.719724,243.288906,291.381459,7.922189,0.009525,24.031063,0.045173,2.827078,0.0,7.640254,3531.84096,534.670365,2841.121237,10.166899,19.939694,18.597542,17.8001,2.70104,1.04484,14.27415,14.91426,0.1811,23.46517,20.1,32.5,6.0,11.0,2000.0,865.0,184.0
159.075321,107.186688,2.29578,0.041055,0.02307,11.594834,1590.032995,1336.527357,700.818173,254.761304,299.546913,8.216082,0.015037,24.316027,0.051555,2.820754,0.0,7.613369,3627.378524,554.308218,2926.560352,10.511862,20.458408,18.160358,17.6903,2.70924,1.04574,14.27797,14.93102,0.18145,23.35214,,,,,,,
160.84392,108.215455,2.350771,0.039507,0.023769,11.820713,1619.151124,1400.281803,711.330619,267.325547,308.446147,8.524218,0.022985,24.626408,0.058536,2.814534,0.0,7.584913,3730.763546,575.771694,3019.432926,10.87499,21.016541,17.691041,17.5731,2.70924,1.04574,14.27797,14.93102,0.18145,23.35214,,,,,,,
162.612518,109.323476,2.410049,0.037979,0.024526,12.072371,1650.674336,1469.453782,722.306702,281.027449,318.121463,8.848135,0.034076,24.963907,0.066143,2.808266,0.0,7.554872,3842.434821,599.148912,3120.128118,11.258184,21.61749,17.189362,17.4478,2.71195,1.04603,14.27922,14.93656,0.18156,23.23933,,,,,,,
